k,rmse
0.1,0.0721278205265232
0.2,0.0656096354955483
0.30000000000000004,0.059575429606819184
0.4,0.05402101169041231
0.5,0.04894601093868688
0.6,0.04435449780656263
0.7000000000000001,0.04025533914458012
0.8,0.03666194405290684
0.9,0.03359088054671768
1.0,0.031058759305474193
1.1,0.02907704124026393
1.2000000000000002,0.02764530994801912
1.3000000000000003,0.02674494531432795
1.4000000000000001,0.026336074091950715
1.5000000000000002,0.026359834470582155
1.6,0.026745394769912424
1.7000000000000002,0.027418811288764493
1.8000000000000003,0.028310560437496652
1.9000000000000001,0.029360115146404894
2.0,0.030517630419042218
2.1,0.031743653092211055
2.2,0.03300782885097818
