discharge,q_c
4.9494977,5.444763174
4.666566372,5.017761629
4.143421173,4.257010855
3.872225285,3.900963772
37.97999954,42.70179842
1437.152344,1364.650936
335.6519775,363.5498429
145.3007813,149.2534702
174.0476227,174.9699066
1418.323364,1394.701537
330.8637695,319.8790995
185.723388,184.6560887
90.80000305,97.51365085
76.54986744,78.04120437
71.68000031,73.47757676
68.23918,68.94659404
192.2163849,189.0382739
208.1240997,205.0266497
473.6032104,490.3646979
334.752594,344.7627925
185.9881134,180.7272374
147.8000031,146.0853323
90.48902,98.44663193
70.09999847,75.27779164
61.93999863,64.25149144
318.8375854,329.6317273
143.8000031,142.1143198
344.6333923,363.349157
70.91999817,72.88501193
27.04999924,26.60765594
26.29999924,26.11302631
25.84000015,25.29008019
25.93000031,25.42358405
25.90999985,25.55708765
25.18000031,25.5793384
25.85000038,25.05442818
24.79999924,23.96839226
24.62999916,23.86381402
23.95000076,22.17157285
23.16172586,22.09095649
25.69000053,24.55358376
26.15999985,24.90069384
27.04303392,25.07424869
26.15999985,25.07424869
29.12000084,27.10593525
29.75632081,27.24395638
29.07999992,27.21111398
27.39999962,26.04153526
26.63999939,24.92237806
28.11291208,26.0415354
28.26000023,26.44467097
28.37740216,26.43038962
26.09891315,23.8549137
25.18193186,22.73592471
24.41236436,23.07391605
21.20392784,20.17374174
20.3175842,18.7754547
19.95093962,18.30652028
10.31569879,9.884166936
10.06973662,9.436123734
9.662291725,9.129428527
8.8063259,8.008062092
8.267454654,7.52256686
8.117043782,7.314123834
7.997898223,7.218429911
7.931070474,7.30459757
8.808503754,8.031105082
9.138305936,8.338794754
9.206000328,8.489430351
9.216383188,8.517439002
9.448526895,8.846559074
9.448526895,8.846559074
8.808946772,7.930248457
8.508697898,7.711519702
5.895999908,5.880106028
5.587365042,5.760897734
5.567936449,5.690627566
5.930901466,6.273072425
5.894399672,6.25951783
8.866000175,9.822032187
8.529753032,9.516055681
8.550000191,9.034308899
7.94923117,8.962925936
7.945243714,8.619741913
7.93565833,8.619741913
7.806620528,8.425130599
7.731999874,8.392174907
7.760225294,8.441608444
7.788977055,8.441608444
11.41878589,11.26619157
13.02601575,12.6920209
11.43000031,11.23597113
11.06971417,10.79683656
11.07923979,10.97378925
10.80958096,10.82667951
13.23332598,13.01244165
13.40715302,13.77219641
14.51000023,14.85643982
16.10229403,14.36976579
14.96946133,13.46860134
13.77691126,13.20125763
14.47076747,13.9336795
13.64360086,13.22124915
11.32743768,11.02579762
10.65064091,10.38793126
10.39999087,10.18218694
10.32894236,10.25124794
11.03091269,10.91880876
11.69632735,11.3326767
11.67362566,11.2420151
11.36378473,10.91880876
13.93621447,13.59753117
14.87482822,13.46681427
